Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,DOI,Microsoft Academic ID
026-114-654-872-270,Contributions to conservation outcomes by natural history museum-led citizen science: Examining evidence and next steps,,2017,journal article,Biological Conservation,00063207,Elsevier BV,Netherlands,Heidi L. Ballard; Lucy D. Robinson; Alison Young; Gregory B. Pauly; Lila Higgins; Rebecca F. Johnson; John C. Tweddle,"Abstract Through their unique combination of specimen collections, scientific and public education expertise, and wide audience reach and trust, natural history museums (NHMs) are obvious settings for bridging conservation science and education through citizen science. Building on over 100 years of amateur naturalist contributions to biodiversity science, a wide range of NHM-based citizen science programs have emerged recently. Yet no comparative studies of the conservation outcomes of this work exist. Here we ask, what is the evidence that NHM citizen science contributes to conservation, what kinds of programs and strategies do so, and how could this approach be better realized for conservation goals? We analyzed 44 citizen science programs across three museums (one U.K., two U.S.) to assess whether and how they contribute to conservation-relevant outcomes. We found evidence that they support conservation both directly, through site and species management, and indirectly through research, education and policy impacts. This study has implications for understanding the role NHMs can play in maximizing the socio-ecological impacts of citizen science, including bringing citizen science to new audiences, mobilizing volunteers to collect and analyze data to study species invasions and impacts of global changes, and conducting locally-relevant research in urban systems. NHM citizen science can provide multiple entry-points and levels of engagement for participants in science and access to new means of studying biodiversity, both in the field and virtually. From our findings we recommend collaboration among the research and education staff within NHMs and other similar conservation organizations, as well as partnerships with external organizations to successfully contribute to conservation outcomes.",208,,87,97,Environmental resource management; Natural history; Political science; Natural resource management; Citizen science; Amateur; Digitization; Public education; Specimen collection; Public relations; Naturalism,,10.1016/j.biocon.2016.08.040,2530451737
026-160-616-568-718,Co-creation of improved quality in disaster response and recovery,2015-05-21,2015,journal article,International Journal of Quality Innovation,23637021,Springer Science and Business Media LLC,,D. Clay Whybark,"There is a compelling argument that the number and intensity of disasters are increasing and will continue to do so for the foreseeable future. The causes are already evident. They include global climate change, increasing population density, human encroachment into disaster prone areas, recurrent famine, and the increasing intensity of weather events. Similarly, there is a general concern that the quality of the responses to these disasters is decreasing, particularly those causing the most damage. Recent examples include the Ebola epidemic, the Philippian tsunami, Hurricane Sandy, the Tibetan earthquake economic and famine refugee crises, and war-caused refugee situations around the world. Elements of the decrease in response quality include limited global logistics capacity, difficult inter-agency and/or international collaboration, and increased reliance on non-governmental organizations to provide the response. This essay is an appeal for more research on responder co-creation of and quality in the four broad phases of the disaster life cycle: mitigation, preparedness, response, and recovery.",1,1,3,,Global warming; Business; Refugee; Preparedness; Appeal; Famine; Co-creation; Global logistics; Disaster response; Development economics; Economic growth,,10.1186/s40887-015-0001-y,2097526485
026-187-954-346-675,"What can volunteered geographic information tell us about the different ways mountain bikers, runners and walkers use urban reserves?",,2019,journal article,Landscape and Urban Planning,01692046,Elsevier BV,Netherlands,Patrick Norman; Catherine Marina Pickering; J. Guy Castley,"Abstract Urban nature reserves are increasingly popular for recreational activities but who uses them, for what activities, and when and where do visitors go? Volunteered geographic information has only recently started to be used by managers to examine patterns of trail use in reserves. As yet, little is known about the benefits and limitations of this type of data. Therefore, we compared how mountain bikers, runners and walkers use popular reserves (Daisy Hill Conservation Park, Venman Bushland National Park and Bayview Conservation Area) close to Brisbane, Australia, based on extracted route data from the fitness tracking application MapMyFitness. Routes for all three activity types were displayed and analysed using ArcGIS. Mountain biking was more popular (49% of the 948 routes), than walking (27%) or running (24%) across the three reserves. Route data was effective at predicting the relative popularity of specific trails with significant linear regressions when compared with fixed-point trail counts (R2 = 0.681). Bikers went further, used a greater range of trail combinations and used more reserves per trip than the other two activities. Weekends were popular for all three activities, but more so for biking (57%), than walking (44%), or running (43%). The results highlight how volunteered geographic information complements other trail data allowing urban planners and managers to better assess visitor movements in reserves. A number of specific management challenges were identified, such as bikers using more areas within and across the reserves, and in some cases, the use of private land and unauthorised access points.",185,,180,190,Recreation; Bushland; Popularity; National park; Urban nature; Mountain biking; Socioeconomics; Visitor pattern; Volunteered geographic information,,10.1016/j.landurbplan.2019.02.015,2915092084
026-645-756-189-301,How Many Volunteers Does it Take to Map an Area Well? The Validity of Linus’ Law to Volunteered Geographic Information,,2010,journal article,The Cartographic Journal,00087041; 17432774,Informa UK Limited,United Kingdom,Muki Haklay; Sofia Basiouka; Vyron Antoniou; Aamer Ather,,47,4,315,322,Quality assurance; Data collection; Law; Geography; Software; Open-source software development; Spatial data quality; Standard sample; Open source; Volunteered geographic information,,10.1179/000870410x12911304958827,2117810730
026-711-830-029-158,Harnessing the Chaotic: Using the Participatory Geoweb to Make Sense of Forest Fires,,2016,journal article,International Journal of E-Planning Research,21609918; 21609926,IGI Global,,Jon Corbett; Samantha Brennan; Aidan Whitely,"Communities in the Okanagan Valley, Canada are increasingly under threat from forest fires due to climate change and expanding urban development into fire interface zones. The effects of forest fires are not always quantifiable â€˜hard' impacts. The fluid and chaotic â€˜soft' impacts can have a profound effect on the collective consciousness of the people living close to the fires. To make sense of these impacts and understand where and when these forest fires have taken place, the authors have developed and implemented a Geoweb tool to support citizen-to-citizen dialogue and tell the stories of these impacts. This article will explore the interlinked â€˜chaos' that exists between forest fires, GIS and volunteered geographic information, using a Geoweb focused case study from the Okanagan Valley, and argue that the Geoweb offers an unprecedented opportunity for citizen-citizen interaction and combines many types of dissimilar and unstructured data into a unified whole.",5,3,27,41,Environmental resource management; Climate change; Ecology; Citizen journalism; Geography; Geoweb; Chaotic; Unstructured data; Urban planning; Volunteered geographic information,,10.4018/ijepr.2016070103,2462194327
026-759-736-579-359,"Cartoforum – A Map-Based Discussion Forum with Applications in the Planning of Cycle Lanes, Community Food Gardens and Campus Sustainability",,2019,journal article,GI_Forum,23081708,Osterreichische Akademie der Wissenschaften,,Justin Pierre; Victoria Fast; Jyothi Kumari; Claus Rinner,"Map-based discussion forums can be used for crowdsourcing people’s ideas and opinions with respect to public planning processes. Their volunteered geographic information consists of text and other media that are linked to geographic features. Building on the concept of argumentation mapping, Cartoforum was developed using the Boundless geostack, an open-source geospatial software package. We present the software architecture and functionality along with three pilot studies covering cycle lane planning in Toronto, Canada; community garden site-selection in the Toronto region; and campus sustainability at the University of Kerala, India. Together, the pilot studies demonstrate the utility of argumentation mapping and illustrate the range of its potential applications in citizen participation.",1,,171,184,World Wide Web; Software package; Software architecture; Volunteered geographic information; Crowdsourcing; Argumentation theory; Sustainability; Geospatial analysis,,10.1553/giscience2019_01_s171,2953393015
026-861-396-449-080,ASSESSMENT OF COMPLETENESS AND POSITIONAL ACCURACY OF LINEAR FEATURES IN VOLUNTEERED GEOGRAPHIC INFORMATION (VGI),2015-12-10,2015,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,M. Eshghi; Ali Asghar Alesheikh,"Recent advances in spatial data collection technologies and online services dramatically increase the contribution of ordinary people to produce, share, and use geographic information. Collecting spatial data as well as disseminating them on the internet by citizens has led to a huge source of spatial data termed as Volunteered Geographic Information (VGI) by Mike Goodchild. Although, VGI has produced previously unavailable data assets, and enriched existing ones. But its quality can be highly variable and challengeable. This presents several challenges to potential end users who are concerned about the validation and the quality assurance of the data which are collected. Almost, all the existing researches are based on how to find accurate VGI data from existing VGI data which consist of a) comparing the VGI data with the accurate official data, or b) in cases that there is no access to correct data; therefore, looking for an alternative way to determine the quality of VGI data is essential, and so forth. In this paper it has been attempt to develop a useful method to reach this goal. In this process, the positional accuracy of linear feature of Iran, Tehran OSM data have been analyzed.",XL-1/W5,,169,174,Dissemination; Quality assurance; The Internet; Spatial analysis; Geography; Information retrieval; Data quality; Completeness (statistics); Volunteered geographic information; End user,,10.5194/isprsarchives-xl-1-w5-169-2015,2310859200
026-880-763-567-171,Diagnosing the performance of human mobility models at small spatial scales using volunteered geographical information.,2019-11-06,2019,journal article,Royal Society open science,20545703,The Royal Society,United Kingdom,Chico Q. Camargo; Jonathan Bright; Scott A. Hale,"Accurate modelling of local population movement patterns is a core, contemporary concern for urban policymakers, affecting both the short-term deployment of public transport resources and the longer-term planning of transport infrastructure. Yet, while macro-level population movement models (such as the gravity and radiation models) are well developed, micro-level alternatives are in much shorter supply, with most macro-models known to perform poorly at smaller geographical scales. In this paper, we take a first step to remedy this deficit, by leveraging two novel datasets to analyse where and why macro-level models of human mobility break down. We show how freely available data from OpenStreetMap concerning land use composition of different areas around the county of Oxfordshire in the UK can be used to diagnose mobility models and understand the types of trips they over- and underestimate when compared with empirical volumes derived from aggregated, anonymous smartphone location data. We argue for new modelling strategies that move beyond rough heuristics such as distance and population towards a detailed, granular understanding of the opportunities presented in different regions.",6,11,191034,,Software deployment; Mobility model; Geography; Open data; Local population; Land use; Public transport; Environmental planning,OpenStreetMap; human mobility; land use; open data; traffic models,10.1098/rsos.191034,2987302306
026-971-352-532-752,The Hitchhiker’s guide to the pick-up locations,2016-12-19,2016,journal article,"Open Geospatial Data, Software and Standards",23637501,Springer Science and Business Media LLC,,Oleksii Vedernikov; Lars Kulik; Kotagiri Ramamohanarao,,1,1,12,,Sociological imagination; Regression analysis; Tourism; Geography; Waiting time; Operations research; Recommender system,,10.1186/s40965-016-0012-1,2561160228
027-033-671-128-509,Geographic information systems and science: today and tomorrow,,2009,journal article,Procedia Earth and Planetary Science,18785220,Elsevier BV,,Michael F. Goodchild,"Abstract Geographic information is defined as information linking locations on or near the Earth’s surface to properties of those locations. The technologies for handling such information include GPS, remote sensing, and geographic information systems. Behind the technologies are a set of fundamental, researchable issues whose study has been termed geographic information science. I review these technologies under four headings: positioning, data acquisition, data dissemination, and analysis. Recent research has led to substantial advances in specific areas of GIScience. I outline five future scenarios that are all technically feasible given current technology, and discuss the research advances that will be needed to make them a reality. In the conclusion I comment on the changing needs of education in geographic information systems and science.",1,1,1037,1043,Dissemination; Data acquisition; Data science; Current technology; Computer science; Geographic information system; Global Positioning System,,10.1016/j.proeps.2009.09.160,3090496609
027-255-150-770-25X,Analysis of ecosystem services provision in the Colombian Amazon using participatory research and mapping techniques,,2015,journal article,Ecosystem Services,22120416,Elsevier BV,Netherlands,Sara O.I. Ramirez-Gomez; Carlos A. Torres-Vitolas; Kate Schreckenberg; Miroslav Honzák; Gisella S. Cruz-Garcia; Simon Willcock; Erwin Palacios; Elena Pérez-Miñana; Pita A. Verweij; Guy M. Poppy,"Over the last two decades indigenous peoples in the lower Caqueta River basin in Colombia have experienced detrimental changes in the provision of important ecosystem services in ways that have significant implications for the maintenance of their traditional livelihoods. To assess these changes we conducted eight participatory mapping activities and convened 22 focus group discussions. We focused the analysis on two types of change: (1) changes in the location of ecosystem services provisioning areas and (2) changes in the stock of ecosystem services. The focal ecosystem services include services such as provision of food, raw materials and medicinal resources. Results from the study show that in the past two decades the demand for food and raw materials has intensified and, as a result, locations of provisioning areas and the stocks of ecosystem services have changed. We found anecdotal evidence that these changes correlate well with socio-economic factors such as greater need for income generation, change in livelihood practices and consumption patterns. We discuss the use of participatory mapping techniques in the context of marginalized and data-poor regions. We also show how this kind of information can strengthen existing ecosystem-based management strategies used by indigenous peoples in the Colombian Amazon.",13,,93,107,Environmental resource management; Participatory action research; Ecosystem health; Geography; Anecdotal evidence; Community-based management; Natural resource; Livelihood; Indigenous; Ecosystem services,,10.1016/j.ecoser.2014.12.009,1971022314
027-343-564-939-502,Volunteered Geographic Information and Computational Geography: New Perspectives,2012-06-29,2012,book chapter,Crowdsourcing Geographic Knowledge,,Springer Netherlands,,Bin Jiang,"Volunteered geographic information (VGI), one of the most important types of; user-generated web content, has been emerging as a new phenomenon. VGI is; contributed by numerous volunteers and supported by web 2.0 technologies. This; chapter discusses how VGI provides new perspectives for computational; geography, a transformed geography based on the use of data-intensive computing; and simulations to uncover the underlying mechanisms behind geographic forms; and processes. We provide several exemplars of computational geography using; OpenStreetMap data and GPS traces to investigate the scaling of geographic; space and its implications for human mobility patterns. We illustrate that the; field of geography is experiencing a dramatic change and that geoinformatics; and computational geography deserve to be clearly distinguished, with the; former being a study of engineering and the latter being a science.;   Keywords geoinformatics, openstreetmap, scaling of geographic space, spatial; heterogeneityComment: 13 pages, 5 figure",,,125,138,Geoinformatics; Geography; Data science; Web content; Geographic space; Street segment; Geographic information system; Information and Computer Science; Volunteered geographic information,,10.1007/978-94-007-4587-2_8,1820608158
027-349-044-333-635,Where Does Bicycling for Health Happen? Analysing Volunteered Geographic Information Through Place and Plexus,,2014,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Greg P. Griffin; Junfeng Jiao,,,,,,Built environment; Transport engineering; Health impact assessment; Transportation planning; Computer science; Automotive industry; Public transport; Volunteered geographic information; Crowdsourcing; Big data,,10.2139/ssrn.2650002,3124765777
027-446-531-088-475,"Cultural-historical geographies of the archive: fragments, objects and ghosts",2013-10-04,2013,journal article,Geography Compass,17498198,Wiley,United Kingdom,Sarah Mills,"This article reviews the increasingly diverse ways in which geographers are engaging with archives. Although traditionally associated with historical geography, cultural-historical geographers have recently 'animated' the archive and its collections of fragments, objects and ghosts. Through this article, I provide an overview of the central characteristics of work in this field, as well as considering the discipline's wider relationship with archival material. Overall, I reflect on the key challenges for geographers in animating and 'bringing to life' the archive - and by extension - the past.",7,10,701,713,Visual arts; Historical geography; Geography; Cartography,,10.1111/gec3.12071,1563554843
027-466-531-877-202,"MAPPING POVERTY IN THE PHILIPPINES USING MACHINE LEARNING, SATELLITE IMAGERY, AND CROWD-SOURCED GEOSPATIAL INFORMATION",2019-12-23,2019,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,I. Tingzon; A. Orden; K. T. Go; S. Sy; Vedran Sekara; Ingmar Weber; Masoomali Fatehkia; Manuel García-Herranz; Do-Hyung Kim,"<jats:p>Abstract. Mapping the distribution of poverty in developing countries is essential for humanitarian organizations and policymakers to formulate targeted programs and aid. However, traditional methods for obtaining socioeconomic data can be time-consuming, expensive, and labor-intensive. Recent studies have demonstrated the effectiveness of combining machine learning and satellite images to estimate wealth in sub-Saharan African countries (Xie et al., 2016, Jean et al., 2016). In this study, we investigate the extent to which this method can be applied in the context of the Philippine archipelago to predict four different socioeconomic indicators: wealth level, years of education, access to electricity, and access to water. We also propose an alternative, cost-effective approach that leverages a combination of volunteered geographic information from OpenStreetMap and nighttime lights satellite imagery for estimating socioeconomic indicators. The best models, which incorporate regional indicators as predictors, explain approximately 63% of the variation in asset-based wealth. Our findings also indicate that models trained on publicly available, volunteer-curated geographic data achieve the same predictive performance as that of models trained using proprietary satellite images.;                     </jats:p>",XLII-4/W19,,425,431,Deep learning; Machine learning; Socioeconomic status; Transfer of learning; Artificial intelligence; Poverty; Geography; Satellite imagery; Volunteered geographic information; Developing country; Geospatial analysis,,10.5194/isprs-archives-xlii-4-w19-425-2019,2997208123
027-605-195-667-907,From Space to Place: Place-Based Explorations of Text,,2015,journal article,International Journal of Humanities and Arts Computing,17538548; 17551706,Edinburgh University Press,,Ross S. Purves; Curdin Derungs,"New data sources, for example in the form of geotagged image libraries and digitised archives of historical text documents, provide us with new opportunities for exploring how place is described. Using a framework derived from work in human geography and information science, we illustrate how there is more to place than names and coordinates. Through a set of case studies we explore different aspects of the seemingly trivial query ‘mountains in the Alps’ addressing a range of issues including ambiguity, the use of vernacular names, ways in which concepts such as mountain are used in different locations and by different groups, approaches to automatically generating macro-maps in space and time and, finally, techniques allowing regions to be characterised and compared based on the terms used to describe them. The use of all these methods in combination allows us to come closer to a meaningful representation of place in the sense of human geography within the context of Geographic Information Science. Howev...",9,1,74,94,Sense of place; Spacetime; Data science; Vernacular; Ambiguity; Computer science; Geographic information system; Database; Human geography; Information science,,10.3366/ijhac.2015.0139,2047860879
027-666-068-785-379,Improving Volunteered Geographic Data Quality Using Semantic Similarity Measurements,2013-05-13,2013,journal article,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",21949034,Copernicus GmbH,,Arnaud Vandecasteele; Rodolphe Devillers,"Abstract. Studies have analysed the quality of volunteered geographic information (VGI) datasets, assessing the positional accuracy of features and the completeness of specific attributes. While it has been shown that VGI can, in some context, reach a high positional accuracy, these works have also highlighted a large spatial heterogeneity in positional accuracy, completeness but also with regards to the semantics of the objects. Such high semantic heterogeneity of VGI datasets becomes a significant obstacle to a number of possible uses that could be made of the data. This paper proposes an approach for both improving the semantic quality and reducing the semantic heterogeneity of VGI dat asets. The improvement of the semantic quality is achieved by automatically suggesting attributes to contributors during the editing process. The reduction of semantic heterogeneity is achieved by automatically notifying contributors when two attributes are too similar or too dissimilar. The approach was implemented into a plugin for OpenStreetMap and different examples illustrate how this plugin can be used to improve the quality of VGI data.",XL-2/W1,1,143,148,Semantics; Semantic similarity; Spatial heterogeneity; Information retrieval; Data quality; Semantic heterogeneity; Completeness (statistics); Computer science; Plug-in; Volunteered geographic information,,10.5194/isprsarchives-xl-2-w1-143-2013,2165445075
027-736-997-184-595,Using control data to determine the reliability of volunteered geographic information about land cover,,2013,journal article,International Journal of Applied Earth Observation and Geoinformation,03032434,Elsevier BV,Netherlands,Alexis J. Comber; Linda See; Steffen Fritz; Marijn van der Velde; Christoph Perger; Giles M. Foody,"There is much interest in using volunteered geographic information (VGI) in formal scientific analyses. This analysis uses VGI describing land cover that was captured using a web-based interface, linked to Google Earth. A number of control points, for which the land cover had been determined by experts allowed measures of the reliability of each volunteer in relation to each land cover class to be calculated. Geographically weighted kernels were used to estimate surfaces of volunteered land cover information accuracy and then to develop spatially distributed correspondences between the volunteer land cover class and land cover from 3 contemporary global datasets (GLC-2000, GlobCover and MODIS v.5). Specifically, a geographically weighted approach calculated local confusion matrices (correspondences) at each location in a central African study area and generated spatial distributions of user's, producer's, portmanteau, and partial portmanteau accuracies. These were used to evaluate the global datasets and to infer which of them was ‘best’ at describing Tree cover at each location in the study area. The resulting maps show where specific global datasets are recommended for analyses requiring Tree cover information. The methods presented in this research suggest that some of the concerns about the quality of VGI can be addressed through careful data collection, the use of control points to evaluate volunteer performance and spatially explicit analyses. A research agenda for the use and analysis of VGI about land cover is outlined.",23,,37,48,Data mining; Data collection; Geography; Land cover; Confusion; Information accuracy; Tree cover; Control data; Portmanteau; Volunteered geographic information; Cartography,,10.1016/j.jag.2012.11.002,1993918804
027-821-272-307-371,Modelling and mapping tick dynamics using volunteered observations.,2017-11-14,2017,journal article,International journal of health geographics,1476072x,BioMed Central,United Kingdom,Irene Garcia-Marti; Raul Zurita-Milla; Arnold J. H. van Vliet; Willem Takken,"Tick populations and tick-borne infections have steadily increased since the mid-1990s posing an ever-increasing risk to public health. Yet, modelling tick dynamics remains challenging because of the lack of data and knowledge on this complex phenomenon. Here we present an approach to model and map tick dynamics using volunteered data. This approach is illustrated with 9 years of data collected by a group of trained volunteers who sampled active questing ticks (AQT) on a monthly basis and for 15 locations in the Netherlands. We aimed at finding the main environmental drivers of AQT at multiple time-scales, and to devise daily AQT maps at the national level for 2014. Tick dynamics is a complex ecological problem driven by biotic (e.g. pathogens, wildlife, humans) and abiotic (e.g. weather, landscape) factors. We enriched the volunteered AQT collection with six types of weather variables (aggregated at 11 temporal scales), three types of satellite-derived vegetation indices, land cover, and mast years. Then, we applied a feature engineering process to derive a set of 101 features to characterize the conditions that yielded a particular count of AQT on a date and location. To devise models predicting the AQT, we use a time-aware Random Forest regression method, which is suitable to find non-linear relationships in complex ecological problems, and provides an estimation of the most important features to predict the AQT. We trained a model capable of fitting AQT with reduced statistical metrics. The multi-temporal study on the feature importance indicates that variables linked to water levels in the atmosphere (i.e. evapotranspiration, relative humidity) consistently showed a higher explanatory power than previous works using temperature. As a product of this study, we are able of mapping daily tick dynamics at the national level. This study paves the way towards the design of new applications in the fields of environmental research, nature management, and public health. It also illustrates how Citizen Science initiatives produce geospatial data collections that can support scientific analysis, thus enabling the monitoring of complex environmental phenomena.",16,1,1,15,Environmental resource management; Random forest; Vegetation; Citizen science; Geography; Temporal scales; Feature engineering; Land cover; Geographic Mapping; Geospatial analysis,Data analysis; Environmental modelling; Random forest; Tick dynamics; Volunteered geographic information (VGI),10.1186/s12942-017-0114-8,2768197086
027-979-325-696-455,"News coverage, digital activism, and geographical saliency: A case study of refugee camps and volunteered geographical information.",2018-11-08,2018,journal article,PloS one,19326203,Public Library of Science,United States,Ron Mahabir; Arie Croitoru; Andrew Crooks; Peggy Agouris; Anthony Stefanidis,"The last several decades have witnessed a shift in the way in which news is delivered and consumed by users. With the growth and advancements in mobile technologies, the Internet, and Web 2.0 technologies users are not only consumers of news, but also producers of online content. This has resulted in a novel and highly participatory cyber-physical news awareness ecosystem that fosters digital activism, in which volunteers contribute content to online communities. While studies have examined the various components of this news awareness ecosystem, little is still known about how news media coverage (and in particular digital media) impacts digital activism. In order to address this challenge and develop a greater understanding of it, this paper focuses on a specific form of digital activism, that of the production of digital geographical content through crowdsourcing efforts. Using refugee camps from around the world as a case study, we examine the relationship between news coverage (via Google news), search trends (via Google trends) and user edit contribution patterns in OpenStreetMap, a prominent geospatial data crowdsourcing platform. In addition, we compare and contrast these patterns with user edit patterns in Wikipedia, a well-known non-geospatial crowdsourcing platform. Using Google news and Google trends to derive a measure of thematic public awareness, our findings indicate that digital activism bursts tend to take place during periods of sustained build-up of public awareness deficit or surplus. These findings are in line with two prominent mass communication theories: agenda setting and corrective action, and suggest the emergence of a novel stimulus-awareness-activism framework in today's participatory digital age. Moreover, these findings further complement existing research examining the motivational factors that drive users to contribute to online collaborative communities. This paper brings us one step closer to understanding the underlying mechanisms that drive digital activism in particular in the geospatial domain.",13,11,e0206825,,Internet privacy; The Internet; Digital media; Political science; Citizen journalism; Social media; News media; Mobile technology; Crowdsourcing; Geospatial analysis,,10.1371/journal.pone.0206825,2900024009
028-278-121-805-394,Using Open Geographic Data to Generate Natural Language Descriptions for Hydrological Sensor Networks.,2015-07-03,2015,journal article,"Sensors (Basel, Switzerland)",14248220; 14243210,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Martin Molina; Javier Sanchez-Soriano; Oscar Corcho,"Providing descriptions of isolated sensors and sensor networks in natural language, understandable by the general public, is useful to help users find relevant sensors and analyze sensor data. In this paper, we discuss the feasibility of using geographic knowledge from public databases available on the Web (such as OpenStreetMap, Geonames, or DBpedia) to automatically construct such descriptions. We present a general method that uses such information to generate sensor descriptions in natural language. The results of the evaluation of our method in a hydrologic national sensor network showed that this approach is feasible and capable of generating adequate sensor descriptions with a lower development effort compared to other approaches. In the paper we also analyze certain problems that we found in public databases (e.g., heterogeneity, non-standard use of labels, or rigid search methods) and their impact in the generation of sensor descriptions.",15,7,16009,16026,Data mining; Natural language; Information retrieval; Wireless sensor network; Natural language generation; General method; Computer science,natural language generation; open geographic data; sensor network,10.3390/s150716009,1632323044
028-537-727-912-139,Application of Citizen Science and Volunteered Geographic Information (VGI): Tourism Development for Rural Communities,2018-11-22,2018,book chapter,Computational Social Sciences,25099574; 25099582,Springer International Publishing,,Jihn-Fa Jan,,,,29,44,Quality assurance; Mobile device; Tourism; Citizen science; Data science; Computer science; Volunteered geographic information; Global Positioning System; Mobile telephony; Geospatial analysis,,10.1007/978-3-319-95465-3_2,2901690253
028-703-285-310-27X,Revealing Cultural Ecosystem Services through Instagram Images : The Potential of Social Media Volunteered Geographic Information for Urban Green Infrastructure Planning and Governance,2016-06-06,2016,journal article,Urban Planning,21837635,Cogitatio,,Paulina Guerrero; Maja Steen Møller; Anton Stahl Olafsson; Bernhard Snizek,"With the prevalence of smartphones, new ways of engaging citizens and stakeholders in urban planning and governance are emerging. The technologies in smartphones allow citizens to act as sensors of their environment, producing and sharing rich spatial data useful for new types of collaborative governance set-ups. Data derived from Volunteered Geographic Information (VGI) can support accessible, transparent, democratic, inclusive, and locally-based governance situations of interest to planners, citizens, politicians, and scientists. However, there are still uncertainties about how to actually conduct this in practice. This study explores how social media VGI can be used to document spatial tendencies regarding citizens’ uses and perceptions of urban nature with relevance for urban green space governance. Via the hashtag #sharingcph , created by the City of Copenhagen in 2014, VGI data consisting of geo-referenced images were collected from Instagram, categorised according to their content and analysed according to their spatial distribution patterns. The results show specific spatial distributions of the images and main hotspots. Many possibilities and much potential of using VGI for generating, sharing, visualising and communicating knowledge about citizens’ spatial uses and preferences exist, but as a tool to support scientific and democratic interaction, VGI data is challenged by practical, technical and ethical concerns. More research is needed in order to better understand the usefulness and application of this rich data source to governance.",1,2,1,17,Geography; E-governance; Collaborative governance; Green infrastructure; Corporate governance; Public relations; Urban planning; Social media; Volunteered geographic information; Ecosystem services,,10.17645/up.v1i2.609,2417249256
028-739-825-417-25X,Mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks,,2012,journal article,International Journal of Geographical Information Science,13658816; 13623087; 13658824,Informa UK Limited,United Kingdom,Julian Hagenauer; Marco Helbich,,26,6,963,982,Data mining; Spatial heterogeneity; Geography; Premise; Correlation coefficient; Spatial data quality; Completeness (statistics); Artificial neural network; Volunteered geographic information; Genetic algorithm,,10.1080/13658816.2011.619501,2007151360
028-746-148-450-882,Assessment of OGC web processing services for REST principles,,2014,journal article,"International Journal of Data Mining, Modelling and Management",17591163; 17591171,Inderscience Publishers,Switzerland,Carlos Granell; Laura Díaz; Alain Tamayo; Joaquín Huerta,"Recent distributed computing trends advocate the use of REpresentational State Transfer (REST) to alleviate the inherent complexity of the web services standards in building service-oriented web applications. In this paper we focus on the particular case of geospatial services interfaced by the OGC web processing service (WPS) specification in order to assess whether WPS-based geospatial services can be viewed from the architectural principles exposed in REST. Our concluding remarks suggest that the adoption of REST principles, to specially harness the built-in mechanisms of the HTTP application protocol, may be beneficial in scenarios where ad hoc composition of geoprocessing services are required, common for most non-expert users of geospatial information infrastructures",6,4,391,412,Web application; Geospatial PDF; World Wide Web; Web Coverage Service; Geoprocessing; Web Feature Service; Web Processing Service; Computer science; Representational state transfer; Geospatial analysis,,10.1504/ijdmmm.2014.066765,2062360661
028-803-820-827-94X,Data poverty: A global evaluation for 2009 to 2013 - implications for sustainable development and disaster risk reduction,,2016,journal article,International Journal of Applied Earth Observation and Geoinformation,03032434,Elsevier BV,Netherlands,Mathias Leidig; Richard Teeuw; Andy Gibson,"The article presents a time series (2009–2013) analysis for a new version of the “Digital Divide” concept that developed in the 1990s. Digital information technologies, such as the Internet, mobile phones and social media, provide vast amounts of data for decision-making and resource management. The Data Poverty Index (DPI) provides an open-source means of annually evaluating global access to data and information. The DPI can be used to monitor aspects of data and information availability at global and national levels, with potential application at local (district) levels. Access to data and information is a major factor in disaster risk reduction, increased resilience to disaster and improved adaptation to climate change. In that context, the DPI could be a useful tool for monitoring the Sustainable Development Goals of the Sendai Framework for Disaster Risk Reduction (2015–2030). The effects of severe data poverty, particularly limited access to geoinformatic data, free software and online training materials, are discussed in the context of sustainable development and disaster risk reduction. Unlike many other indices, the DPI is underpinned by datasets that are consistently provided annually for almost all the countries of the world and can be downloaded without restriction or cost.",50,,1,9,Environmental resource management; The Internet; Information technology; Environmental economics; Digital divide; Poverty; Geography; Disaster risk reduction; Data access; Sustainable development; Resource management,,10.1016/j.jag.2016.03.001,2293447354
