Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Publication Supplementary Type,Citation IDs,Languages
041-017-063-144-465,Using volunteered geographical information to map the November 2012 floods in Slovenia,2013-11-05,2013,journal article,Natural Hazards and Earth System Sciences,16849981; 15618633,Copernicus GmbH,Germany,M. Triglav-Čekada; D. Radovan,"<jats:p>Abstract. Volunteered geographical information represents a promising field in the monitoring and mapping of natural disasters. The contributors of volunteered geographical information have the advantage that they are at the location of the natural disaster at exactly the time when the disaster happened. Therefore, they can provide the most complete account of the extent of the damage. This is not always possible when applying photogrammetric or remote-sensing methods, as prior to the data acquisition an order to carry out the measurements has to be made. On 5 and 6 November 2012 almost half of Slovenia was badly affected by floods. The gathering of volunteered geographical information in the form of images and videos of these floods is presented. Two strategies were used: (1) a public call for volunteered contributions and (2) a web search for useful images and their authors. The authorship of these images was verified with every contributor. In total, 15 contributors provided 102 terrestrial and aerial images and one aerial video, with 45% classified as potentially useful. For actual flood mapping 22 images and 12 sequences from video were used. With the help of the volunteered images 12% of the most severely affected river sections were mapped. Altogether, 1195.3 ha of flooded areas outside of the usual river beds along a total river length of 48 km were mapped. The results are compared with those from satellite mapping of the same floods, which successfully covered 18% of the most affected river sections.;                     </jats:p>",13,11,2753,2762,Photogrammetry; Natural disaster; Satellite; Geography; Aerial video; Flood mapping; Cartography; Remote sensing,,,,,https://nhess.copernicus.org/articles/13/2753/2013/nhess-13-2753-2013-discussion.html https://nhess.copernicus.org/articles/13/2753/2013/nhess-13-2753-2013.pdf https://noa.gwlb.de/receive/cop_mods_00021176 https://www.nat-hazards-earth-syst-sci.net/13/2753/2013/nhess-13-2753-2013.pdf http://ui.adsabs.harvard.edu/abs/2013NHESD...1.2859T/abstract,http://dx.doi.org/10.5194/nhess-13-2753-2013,10.5194/nhess-13-2753-2013,2055230908,,0,011-165-874-683-362; 012-385-805-199-658; 020-234-750-093-486; 038-100-702-021-293; 040-184-564-272-635; 052-232-116-683-034; 057-545-918-303-995; 072-615-071-188-518; 079-150-284-796-055; 085-438-405-707-582; 121-362-424-776-810; 176-325-087-688-467,34,,(doi) 10.5194/nhess-13-2753-2013; (coreid) 90081238; (magid) 2055230908,en
041-271-238-111-176,Differential Spatial Gradients of Wheat Streak Mosaic Virus into Winter Wheat from a Central Mite-Virus Source.,2018-12-17,2018,journal article,Plant disease,01912917; 19437692,American Phytopathological Society,United States,Abby R. Stilwell; Donald C. Rundquist; David B. Marx; Gary L. Hein,"The wheat curl mite (WCM), Aceria tosichella Keifer, transmits three potentially devastating viruses to winter wheat. An increased understanding of mite movement and subsequent virus spread through the landscape is necessary to estimate the risk of epidemics by the virus in winter wheat. Owing to the small size of WCMs, their dispersal via wind is hard to monitor; however, the viruses they transmit produce symptoms that can be detected with remote sensing. The objective of this study was to characterize the spatial dispersal of the virus from a central mite-virus source. Virus infection gradients were measured spatially by using aerial remote sensing, ground measurements, geostatistics, and a geographic information system between 2006 and 2009. The red edge position vegetation index as measured via aerial imagery was significantly correlated with in-field biophysical measurements. The occurrence of virus symptoms extended differentially in all directions from mite-virus source plots, and predictions from cokriging revealed an oval pattern surrounding the source but displaced to the southeast. The variable dispersal in different directions appeared to be influenced by the mite source density and wind direction and speed, but temperature also seemed likely to have affected mite spread. The spatial spread revealed in this study may be used to estimate the potential sphere of influence of mite-infested volunteer wheat in production fields. These risk parameter estimates require further validation, but they may potentially aid growers in making better virus management decisions regarding differential virus spread potential away from a central source.",103,2,338,344,Wind direction; Geostatistics; Virus; Wheat streak mosaic virus; Mite; Red edge position; Winter wheat; Biological dispersal; Agronomy; Biology,,Animals; Mites/virology; Potyviridae/physiology; Triticum/virology,,USDA National Institute of Food and Agriculture North Central Integrated Pest Management Grants Program,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1782&context=entomologyfacpub https://digitalcommons.unl.edu/entomologyfacpub/747/ https://www.ncbi.nlm.nih.gov/pubmed/30562136,http://dx.doi.org/10.1094/pdis-01-18-0025-re,10.1094/pdis-01-18-0025-re,2888160528,,0,010-420-516-474-906; 010-900-435-175-974; 011-521-752-766-66X; 011-973-578-788-157; 012-061-714-018-849; 013-866-320-431-627; 020-935-195-148-397; 022-480-015-032-069; 023-652-737-209-078; 024-756-307-492-697; 025-520-205-514-010; 025-688-339-591-088; 029-183-544-150-160; 029-627-024-977-089; 030-633-357-982-077; 042-240-151-955-143; 042-581-077-460-120; 042-624-593-926-553; 046-993-350-874-030; 049-211-013-291-109; 051-092-747-869-62X; 051-442-119-908-007; 057-532-087-503-44X; 065-113-005-078-149; 068-953-042-916-456; 072-651-487-096-383; 095-115-526-131-133; 102-935-266-198-061; 103-728-392-588-794; 108-052-345-870-281; 112-497-791-089-993; 121-993-950-723-744; 126-978-499-167-224; 177-935-748-824-361; 192-011-036-913-589,2,,(pmid) 30562136; (doi) 10.1094/pdis-01-18-0025-re; (magid) 2888160528,en
041-776-012-221-771,Understanding Design with VGI using an Information Relevance Framework,2012-08-02,2012,journal article,Transactions in GIS,13611682; 14679671,Wiley,United Kingdom,Christopher J. Parker; Andrew May; Val Mitchell,"Volunteered Geographic Information (VGI) has the potential to offer increased value; and usability benefits to end-users over and above that of Professional Geographic Information (PGI).; Using a multi-methods approach consisting of participatory observation, focus groups and diary; studies, the differences between VGI and PGI are investigated in relation to the characteristics which; are the most, or least relevant to an end-user community. The key finding was that the discussion; amongst designers should not be whether to choose VGI or PGI as the information data set, but to; consider which combination of VGI and PGI relating to different geographic features and task; characteristics will best fit the user requirements. VGI is likely to be most relevant to the user when a; geographic features is dynamic rather than static in nature These findings have implications for how; different forms of information may be most effectively utilised within different usage situations.; Above all, a case is presented for the implementation of User Centred Design principals when; integrating VGI and PGI together in a single mashup based product to maximise benefit to the end; user.",16,4,545,560,User requirements document; Usability; Mashup; Citizen journalism; Geography; Diary studies; Knowledge management; Focus group; Volunteered geographic information; End user,,,,,https://www.research.manchester.ac.uk/portal/en/publications/understanding-design-with-vgi-using-an-information-relevance-framework(e4d79d62-5d84-451b-9066-8bb907a0c35c)/export.html https://doi.org/10.1111/j.1467-9671.2012.01302.x https://repository.lboro.ac.uk/articles/Understanding_design_with_VGI_using_an_information_relevance_framework/9346994 https://repository.lboro.ac.uk/articles/journal_contribution/Understanding_design_with_VGI_using_an_information_relevance_framework/9346994 https://www.escholar.manchester.ac.uk/uk-ac-man-scw:221845 https://www.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9671.2012.01302.x https://dblp.uni-trier.de/db/journals/tgis/tgis16.html#ParkerMM12,http://dx.doi.org/10.1111/j.1467-9671.2012.01302.x,10.1111/j.1467-9671.2012.01302.x,1868933021,,0,002-566-551-951-933; 003-254-479-923-236; 004-858-484-597-475; 016-454-230-039-259; 019-550-819-086-364; 019-586-810-437-556; 019-746-433-676-761; 019-803-280-549-048; 024-504-376-121-725; 029-418-030-879-951; 030-217-575-405-566; 031-098-322-826-626; 032-903-495-847-439; 033-621-973-703-562; 034-485-508-141-560; 036-620-985-196-638; 037-868-034-794-216; 040-136-840-595-371; 040-267-517-107-219; 044-101-108-426-089; 051-303-830-964-721; 053-308-200-532-532; 057-545-918-303-995; 058-626-773-085-86X; 072-059-286-046-133; 073-763-573-998-263; 080-572-093-138-186; 100-866-038-545-202; 102-560-735-690-756; 107-894-196-111-736; 113-565-849-458-391; 124-434-892-971-843; 129-606-213-142-446; 144-429-196-088-386; 160-732-680-457-771; 163-637-734-144-951; 166-717-292-919-682; 171-544-875-588-246; 176-450-588-972-450; 190-038-239-795-516; 191-181-625-237-086; 191-381-626-038-958; 195-019-623-135-107,17,,(doi) 10.1111/j.1467-9671.2012.01302.x; (coreid) 74139477; (magid) 1868933021,en
042-051-064-802-074,Using Volunteered Geographic Information and Nighttime Light Remote Sensing Data to Identify Tourism Areas of Interest,2019-08-29,2019,journal article,Sustainability,20711050,MDPI AG,Switzerland,Bidur Devkota; Hiroyuki Miyazaki; Apichon Witayangkurn; Sohee Minsun Kim,"Easy, economical, and near-real-time identification of tourism areas of interest is useful for tourism planning and management. Numerous studies have been accomplished to analyze and evaluate the tourism conditions of a place using free and near-real-time data sources such as social media. This study demonstrates the potential of volunteered geographic information, mainly Twitter and OpenStreetMap, for discovering tourism areas of interest. Active tweet clusters generated using Density-Based Spatial Clustering of Applications with Noise (DBSCAN) clustering algorithm and building footprint information are used to identify touristic places that ensure the availability of basic essential facilities for travelers. Furthermore, an investigation is made to examine the usefulness of nighttime light remotely sensed data to recognize such tourism areas. The study successfully discovered important tourism areas in urban and remote regions in Nepal which have relatively low social media penetration. The effectiveness of the proposed framework is examined using the F1 measure. The accuracy assessment showed F1 score of 0.72 and 0.74 in the selected regions. Hence, the outcomes of this study can provide a valuable reference for various stakeholders such as tourism planners, urban planners, and so on.",11,17,4718,,Footprint; F1 score; Tourism; Data science; Spatial clustering; Computer science; DBSCAN; Social media; Volunteered geographic information; Cluster analysis,,,,Japanese Government Scholarship for AIT,https://www.mdpi.com/2071-1050/11/17/4718/pdf https://www.mdpi.com/2071-1050/11/17/4718,http://dx.doi.org/10.3390/su11174718,10.3390/su11174718,2970078994,,0,002-307-930-349-866; 004-910-595-515-175; 007-031-478-761-64X; 009-335-589-176-844; 011-642-860-189-063; 014-240-122-147-686; 016-567-041-671-950; 018-320-455-212-605; 018-390-915-932-253; 024-250-992-858-248; 027-034-207-080-358; 033-930-286-996-227; 035-457-870-364-976; 035-768-500-408-984; 037-920-759-087-178; 038-976-596-179-447; 042-096-089-374-968; 042-996-636-811-64X; 050-721-758-515-061; 052-017-783-401-051; 052-965-120-166-484; 057-545-918-303-995; 059-372-204-842-137; 063-690-768-977-051; 065-864-827-100-074; 066-932-663-078-402; 069-732-722-930-769; 073-904-431-034-30X; 076-988-693-419-429; 082-483-011-740-607; 085-832-581-816-564; 086-024-384-031-46X; 100-772-873-328-861; 103-460-494-538-136; 109-057-207-625-594; 111-788-476-439-205; 112-101-759-519-697; 116-104-803-555-732; 124-625-645-754-608; 127-667-189-839-126; 134-573-780-130-057; 134-769-517-094-786; 148-134-819-781-417; 149-800-044-639-13X; 151-763-899-673-255; 159-503-277-798-23X; 160-102-801-048-610; 172-982-215-951-528; 181-281-063-379-01X; 186-292-606-694-186; 192-565-610-409-42X,3,,(doi) 10.3390/su11174718; (magid) 2970078994,en
042-106-748-965-013,Quality Verification of Volunteered Geographic Information Using OSM Notes Data in a Global Context,2020-06-06,2020,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Toshikazu Seto; Hiroshi Kanasugi; Yuichiro Nishimura,"Although the data obtained from volunteered geographic information (VGI) are inherently different from public surveys, the quantity of the data are vast and the quality of the data are often poor. To improve the quality of VGI data, the positional accuracy and diversity and interaction of the number of users involved in the regional generation of the data are important. This research proposes a new approach for the accumulation of OpenStreetMap (OSM) data by using OSM Notes and attempts to analyze the geographical distribution and the characteristics of the contents of the contributions, quantitatively and qualitatively. Subsequently, the results demonstrated regional differences in OSM Notes, but it provided users with an understanding of the new features of quality management in OSM, even in regions where OSM activities are not necessarily active. In addition, it was also possible to discover new factors such as the time transition required for the correction and contribution of anonymous users. These results are expected to serve as a tool for users to communicate with each other to resolve data bugs that exist in OSM and provide future researchers with examples of user interaction in global OSM activities.",9,6,372,,Data science; Regional differences; Computer science; Volunteered geographic information; Quality management,,,,Japan Society for the Promotion of Science London,https://www.mdpi.com/2220-9964/9/6/372 https://dblp.uni-trier.de/db/journals/ijgi/ijgi9.html#SetoKN20 https://www.mdpi.com/2220-9964/9/6/372/pdf,http://dx.doi.org/10.3390/ijgi9060372,10.3390/ijgi9060372,3033782058,,0,002-541-598-896-889; 003-090-616-648-069; 005-019-439-574-513; 008-714-358-699-609; 020-132-620-861-048; 022-473-450-579-960; 026-645-756-189-301; 030-975-962-975-895; 038-976-596-179-447; 057-545-918-303-995; 073-839-691-445-270; 086-710-585-305-068; 094-622-128-297-066; 117-889-713-446-267; 164-241-021-060-446,2,,(magid) 3033782058; (doi) 10.3390/ijgi9060372,en
042-768-442-032-678,A Framework for Data-Centric Analysis of Mapping Activity in the Context of Volunteered Geographic Information,2016-03-15,2016,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Karl Rehrl; Simon Gröchenig,"Over the last decade, volunteered geographic information (VGI) has become established as one of the most relevant geographic data sources in terms of worldwide coverage, representation of local knowledge and open data policies. Beside the data itself, data about community activity provides valuable insights into the mapping progress which can be useful for estimating data quality, understanding the activity of VGI communities or predicting future developments. This work proposes a conceptual as well as technical framework for structuring and analyzing mapping activity building on the concepts of activity theory. Taking OpenStreetMap as an example, the work outlines the necessary steps for converting database changes into user- and feature-centered operations and higher-level actions acting as a universal scheme for arbitrary spatio-temporal analyses of mapping activities. Different examples from continent to region and city-scale analyses demonstrate the practicability of the approach. Instead of focusing on the interpretation of specific analysis results, the work contributes on a meta-level by addressing several conceptual and technical questions with respect to the overall process of analyzing VGI community activity",5,3,37,,Database-centric architecture; Geography; Data quality; Data science; Structuring; Open data; Knowledge management; Volunteered geographic information,,,,,https://www.mdpi.com/2220-9964/5/3/37 https://dx.doi.org/10.3390/ijgi5030037 https://www.mdpi.com/2220-9964/5/3/37/pdf https://doi.org/10.3390/ijgi5030037 https://ui.adsabs.harvard.edu/abs/2016IJGI....5...37R/abstract https://dblp.uni-trier.de/db/journals/ijgi/ijgi5.html#RehrlG16 https://core.ac.uk/display/89676462,http://dx.doi.org/10.3390/ijgi5030037,10.3390/ijgi5030037,2298533687,,0,000-701-242-851-10X; 008-714-358-699-609; 009-268-949-120-928; 016-707-019-886-869; 026-645-756-189-301; 029-340-611-176-878; 030-975-962-975-895; 034-212-540-698-648; 035-903-136-289-884; 042-402-901-389-048; 057-234-450-827-428; 057-545-918-303-995; 074-553-217-053-432; 075-869-838-337-064; 090-934-085-480-959; 106-146-414-874-935; 145-350-454-429-564; 147-876-713-700-216; 174-138-909-388-097,17,,(magid) 2298533687; (doi) 10.3390/ijgi5030037; (coreid) 89676462,en
043-048-736-852-883,A Review of OpenStreetMap Data,2017-09-11,2017,book chapter,Mapping and the Citizen Sensor,,Ubiquity Press,,Peter Mooney; Marco Minghini,"While there is now a considerable variety of sources of Volunteered Geographic Information (VGI) available, discussion of this domain is often exemplified by and focused around OpenStreetMap (OSM). In a little over a decade OSM has become the leading example of VGI on the Internet. OSM is not just a crowdsourced spatial database of VGI; rather, it has grown to become a vast ecosystem of data, software systems and applications, tools, and Web-based information stores such as wikis. An increasing number of developers, industry actors, researchers and other end users are making use of OSM in their applications. OSM has been shown to compare favourably with other sources of spatial data in terms of data quality. In addition to this, a very large OSM community updates data within OSM on a regular basis. This chapter provides an introduction to and review of OSM and the ecosystem which has grown to support the mission of creating a free, editable map of the whole world. The chapter is especially meant for readers who have no or little knowledge about the range, maturity and complexity of the tools, services, applications and organisations working with OSM data. We provide examples of tools and services to access, edit, visualise and make quality assessments of OSM data. We also provide a number of examples of applications, such as some of those used in navigation and routing, that use OSM data directly. The chapter finishes with an indication of where OSM will be discussed in the other chapters in this book, and we provide a brief speculative outlook on what the future holds for the OSM project.",,,37,59,The Internet; Software system; Spatial analysis; Spatial database; Data quality; Data science; Open data; Computer science; Volunteered geographic information; End user,,,,,https://www.ubiquitypress.com/site/chapters/10.5334/bbf.c/ https://core.ac.uk/display/157613691 https://www.ubiquitypress.com/site/chapters/e/10.5334/bbf.c/,http://dx.doi.org/10.5334/bbf.c,10.5334/bbf.c,2756319556,,0,,29,,(doi) 10.5334/bbf.c; (magid) 2756319556,en
043-129-348-442-035,A Twitter Data Credibility Framework—Hurricane Harvey as a Use Case,2019-02-28,2019,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Jingchao Yang; Manzhu Yu; Han Qin; Mingyue Lu; Chaowei Yang,"<jats:p>Social media data have been used to improve geographic situation awareness in the past decade. Although they have free and openly availability advantages, only a small proportion is related to situation awareness, and reliability or trustworthiness is a challenge. A credibility framework is proposed for Twitter data in the context of disaster situation awareness. The framework is derived from crowdsourcing, which states that errors propagated in volunteered information decrease as the number of contributors increases. In the proposed framework, credibility is hierarchically assessed on two tweet levels. The framework was tested using Hurricane Harvey Twitter data, in which situation awareness related tweets were extracted using a set of predefined keywords including power, shelter, damage, casualty, and flood. For each tweet, text messages and associated URLs were integrated to enhance the information completeness. Events were identified by aggregating tweets based on their topics and spatiotemporal characteristics. Credibility for events was calculated and analyzed against the spatial, temporal, and social impacting scales. This framework has the potential to calculate the evolving credibility in real time, providing users insight on the most important and trustworthy events.</jats:p>",8,3,111,,Situation awareness; Trustworthiness; Data science; Credibility; Natural hazard; Completeness (statistics); Computer science; Social media; Crowdsourcing; Flood myth,,,,"Center for Hierarchical Manufacturing, National Science Foundation",https://dblp.uni-trier.de/db/journals/ijgi/ijgi8.html#YangYQLY19 https://www.mdpi.com/2220-9964/8/3/111/pdf https://www.mdpi.com/2220-9964/8/3/111 https://doi.org/10.3390/ijgi8030111,http://dx.doi.org/10.3390/ijgi8030111,10.3390/ijgi8030111,2918166202,,0,002-757-931-017-087; 005-896-305-143-114; 007-803-954-123-68X; 012-199-283-061-141; 020-132-620-861-048; 028-695-040-854-706; 033-222-825-921-797; 033-497-992-382-885; 039-937-817-932-418; 049-887-957-428-731; 051-840-520-474-368; 055-692-184-508-904; 056-753-232-667-081; 057-545-918-303-995; 073-021-026-754-291; 077-234-041-484-589; 084-811-015-817-002; 088-972-413-213-004; 094-797-724-860-542; 097-612-174-011-049; 102-750-049-393-724; 105-033-023-866-21X; 108-557-946-585-914; 120-518-308-946-554; 131-803-513-768-170,11,,(doi) 10.3390/ijgi8030111; (magid) 2918166202,en
043-304-455-255-601,Redressing the Exclusiveness. Challenges which Prevent New Users from Contributing to OSM,,2017,journal article,GI_Forum,23081708,Osterreichische Akademie der Wissenschaften,,Robert Vogler; Sabine Hennig; Nicole Ferber,"OpenStreetMap (OSM) is known as the most successful application in the field of crowdsourced Volunteered Geographic Information. Studies show that the vast majority of OSM contributors are middle-aged, well-educated males in stable employment. Accordingly, OSM data represents the worldview of a sharply delimited social group. To overcome this, it is necessary to identify the issues which prevent new user groups from contributing to OSM. This paper elucidates the problems behind these mechanisms and identifies the challenges of new users by focusing on the example of senior citizens",1,,294,299,Internet privacy; Usability; Social group; User group; Volunteered geographic information,,,,,https://www.austriaca.at/0xc1aa5576_0x00369da8.pdf https://uni-salzburg.elsevierpure.com/en/publications/redressing-the-exclusiveness-challenges-which-prevent-new-users-f http://www.austriaca.at?arp=0x00369da8,http://dx.doi.org/10.1553/giscience2017_01_s294,10.1553/giscience2017_01_s294,2733772614,,0,,1,,(coreid) 85164625; (magid) 2733772614; (doi) 10.1553/giscience2017_01_s294,en
043-400-881-209-878,The changing patterns in the distribution of red and grey squirrels in the North of England and Scotland between 1991 and 2010 based on volunteer surveys,2014-11-03,2014,journal article,Hystrix-italian Journal of Mammalogy,03941914,,,John Gurnell; Peter W. W. Lurz; Walter Bertoldi,"In the UK, alien grey squirrels have been replacing the native red squirrel for >100 years and by the turn of the century the distribution of grey squirrels had extended to most of central and southern England and Wales (apart from some islands), and large parts of Scotland and Ireland. To understand how this species replacement may continue into the future, we explore 20 years of squirrel records (1991-2010) collected in an unsystematic way by volunteers in northern England and Scotland. To aid analysis, we standardised the data to one record of squirrel presence per 4 km square per year in each of six geographic regions, two in northern England and four in Scotland. Over the 20 years and across all regions, the number of 4 km squares that returned the presence of squirrels increased from 23% to 80%. The evolving distribution pattern of red and grey squirrels differed among the regions and was complex with occupancy records for many 4 km squares changing from red to grey squirrel from one year to the next, but also some changing from grey to red squirrel. The net rate of change, however, was from red to grey squirrel with the exception of the more recent years, 2007-2010, when this trend became less distinct. Estimates of the complete loss of red squirrels assuming current trends, varied from the 2020s in northern England to 2104 in North East Scotland. The recent incertitudes in the replacement of red by grey squirrels may, at least in part, result from increasing efforts to control grey squirrels in these regions. Although the volunteer data presented are valuable, monitoring aims must be clearly defined and sampling designs involving volunteers and professionals must be systematic and of sufficient effort to obtain reliable information on changes in distribution and population trends. Download the complete issue.",25,2,83,89,Physical geography; Gray (horse); Demography; Occupancy; Alien; Geography; Population; North east; Geographic regions; Distribution pattern,,,,,"http://www.italian-journal-of-mammalogy.it/pdf-77197-13350?filename=The changing patterns in.pdf http://www.italian-journal-of-mammalogy.it/The-changing-patterns-in-the-distribution-of-red-and-grey-squirrels-in-the-North,77197,0,2.html","http://www.italian-journal-of-mammalogy.it/The-changing-patterns-in-the-distribution-of-red-and-grey-squirrels-in-the-North,77197,0,2.html",,165809651,,0,,14,,(magid) 165809651,en
043-484-989-874-942,Natural disasters: arsenic spike from Ike.,,2009,journal article,Environmental health perspectives,15529924; 00916765,"Public Health Services, US Dept of Health and Human Services",United States,Naomi Lubick,"A study of the sediment left behind by flooding from Hurricane Ike in September 2008 shows that although levels of most of the toxic compounds assayed are low, some concerns remain about elevated arsenic levels. The larger impact, however, may come from the cooperation between scientists and community members, whose combined effort has yielded valuable insights as coastal communities gear up for the 2009 hurricane season.; ; To determine exactly what Hurricane Ike delivered, researchers from the University of Texas Medical Branch (UTMB) in Galveston joined local volunteers from community organizations to collect sediment samples. The samples, collected from hard surfaces to distinguish flood-borne sediment from pre-existing soil, were analyzed at a nearby laboratory. The results showed mostly “good news,” the team reported in the February 2009 white paper “Analysis for Toxic Materials in Sediments from Hurricane Ike in Galveston, TX.” The sediment did not contain sufficient levels of most pollutants measured—such as polychlorinated biphenyls, dioxins, and petroleum products—to require remediation.; ; However, several sites had elevated levels of some metals, including arsenic at amounts up to 48 times the U.S. Environmental Protection Agency’s residential screening level, although below the level that legally requires cleanup. Moreover, the highest arsenic levels were found in a particularly poor neighborhood. “Without adequate information and self-protection,” the team wrote, “this community will likely suffer a heavier exposure burden, and may be most vulnerable to the effects of that burden.”; ; The report is not comprehensive, the team acknowledges; the nine samples collected cannot show the complete picture, and the analytical tests were basic. However, with the resources at hand (and a $7,500 budget), the minimal data set is enough to support the team’s basic conclusions: floodwaters tend to stir up what’s already there, while sometimes adding more contaminants from elsewhere, depending on where the floodwaters originated.; ; Some likely sources of the arsenic in Galveston include now-defunct industrial sites, says project co-investigator Jonathan Ward. An old tin smelter across Galveston Bay, for example, once dumped its waste into a channel that directly flowed into the estuary, Ward says. Co-investigator Sharon Petronella says the UTMB team wants to map out such “legacy” contaminants in a geographic information system to serve as a “predecessor for a risk assessment working backwards.”; ; Howard Mielke, a research professor at Tulane University who has documented lead-laden soils of New Orleans and other cities, notes that such a historical record would have been useful in assessing Hurricane Ike flood deposits. With 22% of the Galveston samples containing lead levels over 200 ppm, Mielke says the post-Ike lead content seems relatively high. He adds, “Because of their extraordinary vulnerability, no child should be playing in soil with a lead content above 100 ppm.”; ; The sediment monitoring project is part of UTMB’s LEAST Lead Initiative, which seeks to reduce lead poisoning in Galveston in cooperation with county and state agencies and with St. Vincent’s House, a nonprofit social service agency. The impetus for the monitoring project came from St. Vincent’s executive director Michael Jackson, who rallied support at a meeting in the gutted bottom story of the agency a few weeks after Ike struck. Petronella says, “If you don’t have a community voice at the table, you are not going to understand what the community needs.” Community involvement such as having residents tell their neighbors how to protect babies from hand-to-mouth exposure had been important to LEAST Lead’s efforts prior to Hurricane Ike and proved equally effective with regard to exposure to flood debris and sediments.; ; Researchers outside the project agree that the collaborative nature of the work is a positive highlight of the report. Research geochemist Geoff Plumlee of the U.S. Geological Survey, who assessed New Orleans flood deposits after Hurricane Katrina in 2005, says the report “actually got me thinking about things we could do at the local grass-roots level, because that’s clearly where the impacts are.”",117,7,A294,,Environmental resource management; Natural disaster; Social work; Flooding (psychology); Ecology; Geography; White paper; Geological survey; Community organization; Environmental monitoring; Flood myth,,Arsenic/analysis; Disasters; Environmental Monitoring; Environmental Pollutants/analysis; Geologic Sediments/analysis; Humans; Texas; United States,Environmental Pollutants; Arsenic,,https://ehp.niehs.nih.gov/doi/10.1289/ehp.117-a294a https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2717156/ http://europepmc.org/articles/PMC2717156 https://www.questia.com/library/journal/1G1-206048817/arsenic-spike-from-ike,http://dx.doi.org/10.1289/ehp.117-a294a,10.1289/ehp.117-a294a,66959788,PMC2717156,0,,1,,(pmcid) pmc2717156; (pmid) 19654899; (doi) 10.1289/ehp.117-a294a; (magid) 66959788,en
044-182-665-236-605,Where do networks really work? The effects of the Shenzhen greenway network on supporting physical activities,,2016,journal article,Landscape and Urban Planning,01692046,Elsevier BV,Netherlands,Kun Liu; Kin Wai Michael Siu; Xi Yong Gong; Yuan Gao; Dan Lu,"In recent decades, greenways have been the focus of an international movement to improve urban environment quality. In metropolitan areas, more greenways are interconnected, forming a greenway network (GN). A GN is considered to encourage physical activities, but verifying this statement is difficult, as traditional social survey methods do not obtain fine-grain activity geographic data on a large scale. In view of this shortcoming, the volunteered geographic information and the geographic information system techniques were used to describe the distribution of physical activities in a GN, to explore the effects of greenway network features on supporting activities. The 1640-km-long Shenzhen GN was selected as a representative case, and walking, jogging and cycling were chosen as typical activities. The results showed that only a quarter of greenways were with activities. Greenways with dense residences, mixed land-use, advanced street network and large parks yielded positive effects on supporting physical activities, and advanced public transportation further improved activity diversity. Due to the spatial mismatch between the GN distribution and well-developed areas, the GN density showed negative effects on the presence of physical activities; within the greenways in use, the GN density significantly improved activity diversity, indicating the positive effect of network feature on supporting activities. Compared with neighbourhood greenways, city and regional greenways supported more physical activities due to richer natural resources. The findings reveal that GN in green and welldeveloped areas supports physical activities better. Location, green quality and network form are necessary for greenways and should be integrated into GN planning.School of Desig",152,,49,58,Built environment; Metropolitan area; Neighbourhood (mathematics); Geography; Street network; Geographic information system; Public transport; Volunteered geographic information; Spatial mismatch; Environmental planning,,,,Hong Kong Polytechnic University; National Natural Science Foundation of China; Landscape and Urban Planning,https://research.polyu.edu.hk/en/publications/where-do-networks-really-work-the-effects-of-the-shenzhen-greenwa http://ira.lib.polyu.edu.hk/bitstream/10397/61479/1/Liu_Where_networks_really.pdf http://ira.lib.polyu.edu.hk/handle/10397/61479 https://www.sciencedirect.com/science/article/pii/S0169204616300160 https://core.ac.uk/display/78915448,http://dx.doi.org/10.1016/j.landurbplan.2016.04.001,10.1016/j.landurbplan.2016.04.001,2342451409,,0,000-925-165-034-140; 001-839-222-833-367; 010-290-394-258-945; 014-856-191-062-980; 025-003-532-395-842; 025-956-408-020-683; 028-925-284-905-769; 033-909-729-049-67X; 043-214-274-950-542; 044-386-634-692-67X; 056-806-128-680-725; 057-545-918-303-995; 064-503-437-272-786; 065-711-998-427-082; 067-868-441-981-797; 069-841-017-770-192; 070-186-545-599-883; 075-008-815-861-053; 076-484-786-191-188; 087-796-176-262-366; 093-546-326-236-290; 103-415-392-299-709; 117-441-600-178-416; 117-813-640-396-404; 117-971-355-916-646; 122-906-321-873-764; 129-612-820-182-74X; 137-767-043-242-379; 144-027-353-702-561; 150-550-994-428-05X; 153-542-156-060-937; 162-866-903-375-287; 165-731-623-170-624; 171-904-759-316-08X; 178-493-212-000-912; 191-055-475-123-333,24,,(doi) 10.1016/j.landurbplan.2016.04.001; (magid) 2342451409; (coreid) 78915448,en
